id,repository_id,url,stars,commit_count,sizes,fork,release_count,release_id,repos_addr
183,3245136,https://github.com/daCapricorn/ArcMenu,1353,18,466,643,0,NULL,home/fdse/data/prior_repository/daCapricorn/ArcMenu
184,1450115,https://github.com/AsyncHttpClient/async-http-client,4323,3894,17486,1240,256,NULL,home/fdse/data/prior_repository/AsyncHttpClient/async-http-client
185,2361775,https://github.com/ApmeM/android-flowlayout,1830,143,965,379,9,NULL,home/fdse/data/prior_repository/ApmeM/android-flowlayout
186,206378,https://github.com/apache/commons-lang,1280,5177,21417,752,80,NULL,home/fdse/data/prior_repository/apache/commons-lang
187,2994936,https://github.com/iPaulPro/aFileChooser,1608,38,5386,732,0,NULL,home/fdse/data/prior_repository/iPaulPro/aFileChooser
188,8710734,https://github.com/elastic/elasticsearch-hadoop,1223,1793,6854,676,84,NULL,home/fdse/data/prior_repository/elastic/elasticsearch-hadoop
189,3069822,https://github.com/jOOQ/jOOR,1485,173,320,225,6,NULL,home/fdse/data/prior_repository/jOOQ/jOOR
190,4166277,https://github.com/aragozin/jvm-tools,1765,289,2989,277,29,NULL,home/fdse/data/prior_repository/aragozin/jvm-tools
191,5537121,https://github.com/koush/AndroidAsync,5267,941,3410,1286,0,NULL,home/fdse/data/prior_repository/koush/AndroidAsync
192,4950187,https://github.com/jacoco/jacoco,1105,1460,8216,400,37,NULL,home/fdse/data/prior_repository/jacoco/jacoco
193,6207167,https://github.com/mockito/mockito,6573,4657,44461,1172,358,NULL,home/fdse/data/prior_repository/mockito/mockito
194,5550567,https://github.com/owncloud/android,2471,6557,177491,2641,73,NULL,home/fdse/data/prior_repository/owncloud/android
195,4134560,https://github.com/jfinal/jfinal,2418,370,1615,1244,14,NULL,home/fdse/data/prior_repository/jfinal/jfinal
196,5639802,https://github.com/SimonVT/android-menudrawer,2683,211,5057,1228,11,NULL,home/fdse/data/prior_repository/SimonVT/android-menudrawer
197,5198041,https://github.com/Netflix/eureka,5169,1503,11524,1232,226,NULL,home/fdse/data/prior_repository/Netflix/eureka
198,5722043,https://github.com/oblac/jodd,2428,4653,40100,569,40,NULL,home/fdse/data/prior_repository/oblac/jodd
199,5728045,https://github.com/ragunathjawahar/android-saripaar,2756,286,3307,414,6,NULL,home/fdse/data/prior_repository/ragunathjawahar/android-saripaar
200,5793738,https://github.com/Activiti/Activiti,3356,7762,92934,2490,53,NULL,home/fdse/data/prior_repository/Activiti/Activiti
201,5808540,https://github.com/videlalvaro/gifsockets,1620,20,1174,94,0,NULL,home/fdse/data/prior_repository/videlalvaro/gifsockets
202,3480666,https://github.com/graphhopper/graphhopper,1566,3280,73645,653,23,NULL,home/fdse/data/prior_repository/graphhopper/graphhopper
203,5279091,https://github.com/square/dagger,6718,701,6834,2324,11,NULL,home/fdse/data/prior_repository/square/dagger
204,3766706,https://github.com/iBotPeaches/Apktool,6088,1412,93360,1762,31,NULL,home/fdse/data/prior_repository/iBotPeaches/Apktool
205,5901900,https://github.com/LMAX-Exchange/disruptor,7524,925,7906,2002,37,NULL,home/fdse/data/prior_repository/LMAX-Exchange/disruptor
206,5890835,https://github.com/ACRA/acra,4277,1260,3494,986,38,NULL,home/fdse/data/prior_repository/ACRA/acra
207,5925560,https://github.com/JesusFreke/smali,2638,1747,8924,590,58,NULL,home/fdse/data/prior_repository/JesusFreke/smali
208,5745625,https://github.com/square/tape,2058,289,714,267,7,NULL,home/fdse/data/prior_repository/square/tape
209,4449830,https://github.com/sarxos/webcam-capture,1221,619,13274,783,19,NULL,home/fdse/data/prior_repository/sarxos/webcam-capture
210,865412,https://github.com/OpenTSDB/opentsdb,3010,1464,33158,925,24,NULL,home/fdse/data/prior_repository/OpenTSDB/opentsdb
211,6257984,https://github.com/yangfuhai/afinal,3119,122,4234,1657,0,NULL,home/fdse/data/prior_repository/yangfuhai/afinal
